Posicion,Premios,puntos_MVP,primero,AWS,AWS_MEAN,WP,Season,WP_MEAN,Defensivo,Sueldos
135,,,,"Bogdanović,Bojan",7.078735632183907,"Gay,Rudy",2018,0.1220859712959078,,"Moore,E'Twaun"
136,,,,"Parker,Jabari",7.061842105263157,"Johnson,Tyler",2018,0.12133780452828477,,"Gay,Rudy"
137,,,,"Morris,Markieff",7.044303797468356,"Moore,E'Twaun",2018,0.11998402025298972,,"Koufos,Kosta"
138,,,,"Waiters,Dion",7.036666666666667,"Ariza,Trevor",2018,0.11978973204343253,,"Fultz,Markelle"
139,,,,"Bogdanović,Bogdan",6.975,"Kaminsky,Frank",2018,0.11925585304315765,,"Temple,Garrett"
140,,,,"Fox,De'Aaron",6.906849315068494,"Smith,Ish",2018,0.119080333172162,,"Garnett,Kevin"
141,,,,"Len,Alex",6.906521739130435,"Capela,Clint",2018,0.1189669817991015,,"Jianlian,Yi"
142,,,,"Matthews,Wesley",6.904761904761907,"Valančiūnas,Jonas",2018,0.11757226870492765,,"Carter,Vince"
143,,,,"Lamb,Jeremy",6.8468750000000025,"Ellington,Wayne",2018,0.117078677621358,,"Joseph,Cory"
144,,,,"Murray,Dejounte",6.83511904761905,"James,Mike",2018,0.1170126633578051,,"Miles,C.J."
145,,,,"Henson,John",6.81602564102564,"Crawford,Jamal",2018,0.11567461028364985,,"Livingston,Shaun"
146,,,,"Brogdon,Malcolm",6.7945454545454576,"Morris,Markieff",2018,0.11536021607154967,,"Tucker,P.J."
147,,,,"Moore,E'Twaun",6.70934065934066,"Young,Thaddeus",2018,0.1144788198281688,,"Brewer,Corey"
148,,,,"Lee,Courtney",6.688157894736843,"Brooks,Dillon",2018,0.11422156284044915,,"Wiggins,Andrew"
149,,,,"Nance,Larry",6.663690476190476,"Kanter,Enes",2018,0.11384782393857926,,"Korver,Kyle"
150,,,,"O'Quinn,Kyle",6.652597402597403,"Lopez,Robin",2018,0.11382715348399824,,"Diaw,Boris"
151,,,,"Gortat,Marcin",6.6477272727272725,"Olynyk,Kelly",2018,0.11262758956415488,,"Lamb,Jeremy"
152,,,,"Gay,Rudy",6.639516129032258,"Green,Gerald",2018,0.11252014807262647,,"Arthur,Darrell"
153,,,,"Payne,Cameron",6.636,"Johnson,James",2018,0.1122591023144215,,"Ariza,Trevor"
154,,,,"Ibaka,Serge",6.619767441860466,"Valentine,Denzel",2018,0.11200845226248274,,"Frye,Channing"
155,,,,"Bradley,Avery",6.592391304347826,"Bullock,Reggie",2018,0.1118255827580811,,"Ezeli,Festus"
156,,,,"Jack,Jarrett",6.5580645161290345,"Ferrell,Yogi",2018,0.10979338542542726,,"Aminu,Al-Farouq"
157,,,,"İlyasova,Ersan",6.537341772151897,"Mills,Patty",2018,0.10947172389269401,,"Aldrich,Cole"
158,,,,"Lopez,Brook",6.534459459459461,"Sabonis,Domantas",2018,0.10899493517649002,,"Augustin,D.J."
159,,,,"Smith,Ish",6.510365853658537,"Gasol,Pau",2018,0.10841436928421916,,"Dedmon,Dewayne"
160,,,,"Valentine,Denzel",6.500649350649352,"Aminu,Al-Farouq",2018,0.10796191654420463,,"Thomas,Lance"
161,,,,"Chandler,Wilson",6.4202702702702705,"Mudiay,Emmanuel",2018,0.10701742218824824,,"Russell,D'Angelo"
162,,,,"Holiday,Justin",6.411805555555557,"Favors,Derrick",2018,0.10672736151918576,,"Williams,Lou"
163,,,,"Wright,Delon",6.382911392405063,"Hezonja,Mario",2018,0.10643994015110286,,"Stuckey,Rodney"
164,,,,"Plumlee,Mason",6.343918918918918,"Stephenson,Lance",2018,0.10642038357554144,,"Galloway,Langston"
165,,,,"Harris,Joe",6.3128205128205135,"Crowder,Jae",2018,0.10587272202724532,,"Marjanovic,Boban"
166,,,,"Harrell,Montrezl",6.288815789473684,"Wallace,Tyrone",2018,0.10579996726092968,,"Crowder,Jae"
167,,,,"Nowitzki,Dirk",6.285064935064937,"Miles,C.J.",2018,0.10544641229817167,,"Landry,Carl"
168,,,,"Crabbe,Allen",6.278666666666665,"Augustin,D.J.",2018,0.10450109898785656,,"Simmons,Ben"
169,,,,"Anthony,Carmelo",6.276785714285714,"İlyasova,Ersan",2018,0.10386096392798154,,"Duncan,Tim"
170,,,,"McConnell,T.J.",6.259999999999999,"Lyles,Trey",2018,0.10366462089189042,,"Davis,Ed"
171,,,,"Allen,Jarrett",6.240972222222222,"Harrison,Andrew",2018,0.10360144696282622,,"Ball,Lonzo"
172,,,,"Williams,Marvin",6.227564102564102,"Harris,Joe",2018,0.10357655426030586,,"Thomas,Isaiah"
173,,,,"Powell,Dwight",6.208860759493673,"Teodosić,Miloš",2018,0.10342215608551192,,"Towns,Karl-Anthony"
174,,,,"Bullock,Reggie",6.1725806451612915,"Chandler,Wilson",2018,0.10318852165868796,,"Hawes,Spencer"
175,,,,"Ariza,Trevor",6.0982142857142865,"Rose,Derrick",2018,0.103052504287169,,"McRoberts,Josh"
176,,,,"Belinelli,Marco",6.092777777777778,"Green,Jeff",2018,0.10300941854442668,,"Mack,Shelvin"
177,,,,"Hill,George",6.088372093023256,"Payne,Cameron",2018,0.10165678006717188,,"Simmons,Jonathon"
178,,,,"Satoranský,Tomáš",6.0435897435897425,"Rondo,Rajon",2018,0.10123749108754722,,"Smith,Ish"
179,,,,"Iguodala,Andre",6.0320512820512855,"Johnson,Stanley",2018,0.10111088786967602,,"Williams,Alan"
180,,,,"Johnson,Tyler",6.001298701298699,"Gibson,Taj",2018,0.10076678463810457,,"Teodosic,Milos"
181,,,,"Grant,Jerian",5.978378378378378,"Ross,Terrence",2018,0.10058094463344763,,"Johnson,Wesley"
182,,,,"Clarkson,Jordan",5.924499999999997,"Green,Danny",2018,0.09999032745481,,"Abrines,Alex"
183,,,,"Jackson,Josh",5.9220779220779205,"Hill,George",2018,0.09895764861973803,,"Porzingis,Kristaps"
184,,,,"Lyles,Trey",5.867605633802817,"Napier,Shabazz",2018,0.09788056612272612,,"Tatum,Jayson"
185,,,,"Canaan,Isaiah",5.857499999999999,"Selden,Wayne",2018,0.09777860365491137,,"Sullinger,Jared"
186,,,,"Morris,Marcus",5.854109589041097,"Dedmon,Dewayne",2018,0.09776735591520297,,"Ingram,Brandon"
187,,,,"Mills,Patty",5.824137931034482,"Green,JaMychal",2018,0.0975927530556968,,"Beverley,Patrick"
188,,,,"Mack,Shelvin",5.775757575757576,"Gray,Josh",2018,0.09747602768832073,,"Sefolosha,Thabo"
189,,,,"Hezonja,Mario",5.765540540540542,"Adams,Steven",2018,0.0973915934882972,,"Smith,Jason"
190,,,,"Stephenson,Lance",5.75561797752809,"Jordan,DeAndre",2018,0.09701767609838503,,"McLemore,Ben"
191,,,,"Sefolosha,Thabo",5.7368421052631575,"Ginóbili,Manu",2018,0.09662935828353562,,"Patterson,Patrick"
192,,,,"Ulis,Tyler",5.716428571428572,"Ulis,Tyler",2018,0.0964551247726984,,"Young,Nick"
193,,,,"Napier,Shabazz",5.631333333333332,"Williams,Marvin",2018,0.09644618077029303,,"Jackson,Josh"
194,,,,"Morris,Monte",5.6000000000000005,"Canaan,Isaiah",2018,0.09479461435772682,,"Muscala,Mike"
195,,,,"Wallace,Tyrone",5.587931034482759,"Temple,Garrett",2018,0.09427757161559812,,"Watson,C.J."
196,,,,"Lee,Damion",5.583333333333334,"Blakeney,Antonio",2018,0.09356507119567166,,"Morris,Marcus"
197,,,,"Koufos,Kosta",5.506338028169017,"Mason,Frank",2018,0.0933353978951088,,"Nowitzki,Dirk"
198,,,,"Harrison,Andrew",5.491818181818184,"Harrell,Montrezl",2018,0.09324105883109032,,"Exum,Dante"
199,,,,"VanVleet,Fred",5.4913580246913565,"Murray,Dejounte",2018,0.09285956740482744,,"Isaac,Jonathan"
200,,,,"Ginóbili,Manu",5.489285714285713,"VanVleet,Fred",2018,0.09257324591117293,,"Ajinca,Alexis"
201,,,,"Winslow,Justise",5.467808219178082,"Smith,J.R.",2018,0.09247341495853176,,"Brown,Jaylen"
202,,,,"Ellington,Wayne",5.464814814814812,"Rathan-Mayes,Xavier",2018,0.09182774412484476,,"Dunleavy,Mike"
203,,,,"Hood,Rodney",5.4380000000000015,"Turner,Evan",2018,0.09172720393715836,,"Singler,Kyle"
204,,,,"Pöltl,Jakob",5.406043956043956,"Kidd-Gilchrist,Michael",2018,0.09163837629810223,,"Fox,De'Aaron"
205,,,,"Oubre,Kelly",5.3850574712643695,"Collins,John",2018,0.09126627448683768,,"Baker,Ron"
206,,,,"Ferrell,Yogi",5.377439024390244,"Burks,Alec",2018,0.09125520971836644,,"Markkanen,Lauri"
207,,,,"Mudiay,Emmanuel",5.361111111111111,"Daniels,Troy",2018,0.09114359710393724,,"Bender,Dragan"
208,,,,"Kaminsky,Frank",5.33987341772152,"Grant,Jerian",2018,0.09047914648139667,,"Harris,Devin"
209,,,,"Noel,Nerlens",5.316666666666666,"Korver,Kyle",2018,0.09034002393599233,,"Holiday,Justin"
210,,,,"Rabb,Ivan",5.315,"Jack,Jarrett",2018,0.09001004131937561,,"Vasquez,Greivis"
211,,,,"James,Mike",5.3114285714285705,"Monk,Malik",2018,0.08996426498240527,,"Crawford,Jamal"
212,,,,"Brooks,Dillon",5.269512195121951,"Buycks,Dwight",2018,0.08996385797805051,,"Mudiay,Emmanuel"
213,,,,"Hart,Josh",5.265573770491804,"Labissière,Skal",2018,0.08995659506253688,,"Dunn,Kris"
214,,,,"Harrison,Shaquille",5.24,"Monroe,Greg",2018,0.0893643162388846,,"Noel,Nerlens"
215,,,,"Chalmers,Mario",5.2242424242424255,"Winslow,Justise",2018,0.08919433989140117,,"Len,Alex"
216,,,,"Muscala,Mike",5.223584905660378,"Cook,Quinn",2018,0.08874815022722328,,"Ntilikina,Frank"
217,,,,"Joseph,Cory",5.221348314606744,"Parker,Tony",2018,0.08840616234829281,,"Randle,Julius"
218,,,,"Zeller,Cody",5.206060606060606,"Chalmers,Mario",2018,0.0882769216141259,,"Hill,Jordan"
219,,,,"Nwaba,David",5.202857142857141,"Dorsey,Tyler",2018,0.08826706168867926,,"Jerebko,Jonas"
220,,,,"Adebayo,Bam",5.196527777777777,"Joseph,Cory",2018,0.08733671421575567,,"Bjelica,Nemanja"
221,,,,"Tolliver,Anthony",5.193037974683544,"Harris,Devin",2018,0.08731612904607547,,"Johnson,Stanley"
222,,,,"Chriss,Marquese",5.176388888888892,"Wright,Delon",2018,0.08725604768833282,,"Barea,J.J."
223,,,,"Tucker,P.J.",5.126020408163267,"Speights,Marreese",2018,0.08614659243397872,,"Pondexter,Quincy"
224,,,,"Davis,Ed",5.096341463414635,"Chriss,Marquese",2018,0.08591642572840179,,"Cauley-Stein,Willie"
225,,,,"West,David",5.081666666666668,"Kennard,Luke",2018,0.0851170380744157,,"Hield,Buddy"
226,,,,"Labissière,Skal",5.064166666666668,"Fultz,Markelle",2018,0.08444965936116475,,"Kaminsky,Frank"
227,,,,"Green,Danny",5.040666666666668,"Scott,Mike",2018,0.08335712014898218,,"Gooden,Drew"
228,,,,"Selden,Wayne",5.024285714285714,"Kilpatrick,Sean",2018,0.08329728140171191,,"Barton,Will"
