Equipo A,Equipo B,Distancia
Memphis Grizzlies,Charlotte Hornets,836
San Antonio Spurs,Philadelphia 76ers,7682
San Antonio Spurs,Detroit Pistons,1990
San Antonio Spurs,Chicago Bulls,1689
San Antonio Spurs,Minnesota Timberwolves,1787
San Antonio Spurs,New York Knicks,2542
San Antonio Spurs,Denver Nuggets,1289
San Antonio Spurs,Golden State Warriors,2379
San Antonio Spurs,Dallas Mavericks,406
San Antonio Spurs,New Jersey Nets,2543
San Antonio Spurs,Charlotte Bobcats,1774
San Antonio Spurs,Memphis Grizzlies,1011
San Antonio Spurs,New Orleans Hornets,814
San Antonio Spurs,Oklahoma City Thunder,677
San Antonio Spurs,Orlando Magic,1664
San Antonio Spurs,Washington Wizards,2227
San Antonio Spurs,Cleveland Cavaliers,2020
San Antonio Spurs,Boston Celtics,2837
San Antonio Spurs,Portland Trail Blazers,2762
San Antonio Spurs,Los Angeles Lakers,1931
San Antonio Spurs,Sacramento Kings,2340
San Antonio Spurs,Indiana Pacers,1607
San Antonio Spurs,Phoenix Suns,1361
San Antonio Spurs,Utah Jazz,1747
San Antonio Spurs,Houston Rockets,305
San Antonio Spurs,Toronto Raptors,2315
San Antonio Spurs,Miami Heat,1844
San Antonio Spurs,Los Angeles Clippers,1931
San Antonio Spurs,Atlanta Hawks,1417
San Antonio Spurs,Milwaukee Bucks,1781
San Antonio Spurs,Brooklyn Nets,2543
San Antonio Spurs,New Orleans Pelicans,814
San Antonio Spurs,Charlotte Hornets,1774
New Orleans Hornets,Philadelphia 76ers,2020
New Orleans Hornets,Detroit Pistons,1511
New Orleans Hornets,Chicago Bulls,1339
New Orleans Hornets,Minnesota Timberwolves,1692
New Orleans Hornets,New York Knicks,1878
New Orleans Hornets,Denver Nuggets,1736
New Orleans Hornets,Golden State Warriors,3076
New Orleans Hornets,Dallas Mavericks,711
New Orleans Hornets,New Jersey Nets,1878
New Orleans Hornets,Charlotte Bobcats,1043
New Orleans Hornets,Memphis Grizzlies,570
New Orleans Hornets,San Antonio Spurs,814
New Orleans Hornets,Oklahoma City Thunder,926
New Orleans Hornets,Orlando Magic,857
New Orleans Hornets,Washington Wizards,1550
New Orleans Hornets,Cleveland Cavaliers,1486
New Orleans Hornets,Boston Celtics,2183
New Orleans Hornets,Portland Trail Blazers,3310
New Orleans Hornets,Los Angeles Lakers,2683
New Orleans Hornets,Sacramento Kings,3021
New Orleans Hornets,Indiana Pacers,1146
New Orleans Hornets,Phoenix Suns,2110
New Orleans Hornets,Utah Jazz,2302
New Orleans Hornets,Houston Rockets,510
New Orleans Hornets,Toronto Raptors,1793
New Orleans Hornets,Miami Heat,1075
New Orleans Hornets,Los Angeles Clippers,2683
New Orleans Hornets,Atlanta Hawks,682
New Orleans Hornets,Milwaukee Bucks,1466
New Orleans Hornets,Brooklyn Nets,1878
New Orleans Hornets,Charlotte Hornets,1043
Oklahoma City Thunder,Philadelphia 76ers,2086
Oklahoma City Thunder,Detroit Pistons,1462
Oklahoma City Thunder,Chicago Bulls,1110
Oklahoma City Thunder,Minnesota Timberwolves,1116
Oklahoma City Thunder,New York Knicks,2128
Oklahoma City Thunder,Denver Nuggets,810
Oklahoma City Thunder,Golden State Warriors,2214
Oklahoma City Thunder,Dallas Mavericks,305
Oklahoma City Thunder,New Jersey Nets,2132
Oklahoma City Thunder,Charlotte Bobcats,1509
Oklahoma City Thunder,Memphis Grizzlies,677
Oklahoma City Thunder,San Antonio Spurs,677
Oklahoma City Thunder,New Orleans Hornets,926
Oklahoma City Thunder,Orlando Magic,1700
Oklahoma City Thunder,Washington Wizards,1847
Oklahoma City Thunder,Cleveland Cavaliers,1526
Oklahoma City Thunder,Boston Celtics,2399
Oklahoma City Thunder,Portland Trail Blazers,2386
Oklahoma City Thunder,Los Angeles Lakers,1894
Oklahoma City Thunder,Sacramento Kings,2147
Oklahoma City Thunder,Indiana Pacers,1106
Oklahoma City Thunder,Phoenix Suns,1350
Oklahoma City Thunder,Utah Jazz,1384
Oklahoma City Thunder,Houston Rockets,665
Oklahoma City Thunder,Toronto Raptors,1793
Oklahoma City Thunder,Miami Heat,1970
Oklahoma City Thunder,Los Angeles Clippers,1894
Oklahoma City Thunder,Atlanta Hawks,1214
Oklahoma City Thunder,Milwaukee Bucks,1177
Oklahoma City Thunder,Brooklyn Nets,2132
Oklahoma City Thunder,New Orleans Pelicans,926
Oklahoma City Thunder,Charlotte Hornets,1509
Orlando Magic,Philadelphia 76ers,1806
Orlando Magic,Detroit Pistons,1539
Orlando Magic,Chicago Bulls,1583
Orlando Magic,Minnesota Timberwolves,2105
Orlando Magic,New York Knicks,1509
Orlando Magic,Denver Nuggets,2489
Orlando Magic,Golden State Warriors,3904
Orlando Magic,Dallas Mavericks,1545
Orlando Magic,New Jersey Nets,1505
Orlando Magic,Charlotte Bobcats,744
Orlando Magic,Memphis Grizzlies,1094
Orlando Magic,San Antonio Spurs,1664
Orlando Magic,New Orleans Hornets,857
Orlando Magic,Oklahoma City Thunder,1700
Orlando Magic,Washington Wizards,1218
Orlando Magic,Cleveland Cavaliers,1440
Orlando Magic,Boston Celtics,1793
Orlando Magic,Portland Trail Blazers,4059
Orlando Magic,Los Angeles Lakers,3532
Orlando Magic,Sacramento Kings,3842
Orlando Magic,Indiana Pacers,1322
Orlando Magic,Phoenix Suns,2961
Orlando Magic,Utah Jazz,3079
Orlando Magic,Houston Rockets,1362
Orlando Magic,Toronto Raptors,1693
Orlando Magic,Miami Heat,329
Orlando Magic,Los Angeles Clippers,3532
Orlando Magic,Atlanta Hawks,645
Orlando Magic,Milwaukee Bucks,1713
Orlando Magic,Brooklyn Nets,1505
Orlando Magic,New Orleans Pelicans,857
Orlando Magic,Charlotte Hornets,744
Washington Wizards,Philadelphia 76ers,594
Washington Wizards,Detroit Pistons,634
Washington Wizards,Chicago Bulls,955
Washington Wizards,Minnesota Timberwolves,1497
Washington Wizards,New York Knicks,328
Washington Wizards,Denver Nuggets,2393
Washington Wizards,Golden State Warriors,3900
Washington Wizards,Dallas Mavericks,1900
Washington Wizards,New Jersey Nets,328
Washington Wizards,Charlotte Bobcats,529
Washington Wizards,Memphis Grizzlies,1228
Washington Wizards,San Antonio Spurs,2227
Washington Wizards,New Orleans Hornets,1550
Washington Wizards,Oklahoma City Thunder,1847
Washington Wizards,Orlando Magic,1218
Washington Wizards,Cleveland Cavaliers,490
Washington Wizards,Boston Celtics,633
Washington Wizards,Portland Trail Blazers,3773
Washington Wizards,Los Angeles Lakers,3687
Washington Wizards,Sacramento Kings,3812
Washington Wizards,Indiana Pacers,789
Washington Wizards,Phoenix Suns,3178
Washington Wizards,Utah Jazz,2960
Washington Wizards,Houston Rockets,1957
Washington Wizards,Toronto Raptors,569
Washington Wizards,Miami Heat,1487
Washington Wizards,Los Angeles Clippers,3687
Washington Wizards,Atlanta Hawks,871
Washington Wizards,Milwaukee Bucks,1020
Washington Wizards,Brooklyn Nets,328
Washington Wizards,New Orleans Pelicans,1550
Washington Wizards,Charlotte Hornets,529
Cleveland Cavaliers,Philadelphia 76ers,1170
Cleveland Cavaliers,Detroit Pistons,145
Cleveland Cavaliers,Chicago Bulls,495
Cleveland Cavaliers,Minnesota Timberwolves,1011
Cleveland Cavaliers,New York Knicks,649
Cleveland Cavaliers,Denver Nuggets,1967
Cleveland Cavaliers,Golden State Warriors,3461
Cleveland Cavaliers,Dallas Mavericks,1647
Cleveland Cavaliers,New Jersey Nets,655
Cleveland Cavaliers,Charlotte Bobcats,700
Cleveland Cavaliers,Memphis Grizzlies,1018
