Posicion,Premios,puntos_MVP,primero,AWS,AWS_temp,WP,Season,WP_season,WP_adj,WP_adj_season,Defensivo,Sueldos
241,,,,"Bradley,Avery",274.75,"Dieng,Gorgui",2018,4.672197579145979,"McConnell,T.J.",0.9355155152600391,,"McDermott,Doug"
242,,,,"Clark,Ian",273.29999999999995,"Johnson,Wesley",2018,4.670866865252171,"Taylor,Isaiah",0.8744314191994764,,"Tolliver,Anthony"
243,,,,"Parker,Tony",268.6500000000001,"Teodosić,Miloš",2018,4.653997023848037,"Kidd-Gilchrist,Michael",0.8701017841590241,,"Evans,Tyreke"
244,,,,"Parker,Jabari",268.35,"Powell,Norman",2018,4.645067860551212,"Kilpatrick,Sean",0.8350483587147426,,"Black,Tarik"
245,,,,"Harkless,Maurice",267.95,"LaVine,Zach",2018,4.6370571486305145,"McCaw,Patrick",0.8297536861173936,,"Kennard,Luke"
246,,,,"Johnson,Wesley",267.95,"Pöltl,Jakob",2018,4.6177030975465305,"McLemore,Ben",0.8284926714162016,,"Payne,Cameron"
247,,,,"Burke,Trey",267.8,"Crowder,Jae",2018,4.614745018213901,"Brooks,MarShon",0.8231739499117987,,"Smith,Dennis"
248,,,,"Theis,Daniel",267.1,"O'Neale,Royce",2018,4.597355540400264,"Mudiay,Emmanuel",0.8201270902151391,,"Oubre,Kelly"
249,,,,"Taylor,Isaiah",263.40000000000003,"Bjelica,Nemanja",2018,4.570088668099368,"Gortat,Marcin",0.8119634050475977,,"Udoh,Ekpe"
250,,,,"Monroe,Greg",263.05,"Acy,Quincy",2018,4.528597938959144,"McDermott,Doug",0.8019537598473726,,"Warren,T.J."
251,,,,"McGee,JaVale",256.5499999999999,"Biyombo,Bismack",2018,4.524270052110157,"Luwawu-Cabarrot,Timothé",0.7787187768414428,,"Chriss,Marquese"
252,,,,"Green,Gerald",252.1,"Hill,George",2018,4.49163336702888,"Monk,Malik",0.7580964024138876,,"Collins,Zach"
253,,,,"Nance,Larry",250.75,"Adebayo,Bam",2018,4.447913390389359,"Mudiay,Emmanuel",0.7214284983241486,,"Curry,Seth"
254,,,,"Bertāns,Dāvis",249.80000000000007,"Jones,Tyus",2018,4.398318075163585,"Hart,Josh",0.6854020043939669,,"Kuzminskas,Mindaugas"
255,,,,"Young,Nick",247.55000000000013,"McLemore,Ben",2018,4.32138818067461,"Rose,Derrick",0.6748814983225261,,"Pleiss,Tibor"
256,,,,"Kleber,Maxi",244.64999999999992,"Mirotić,Nikola",2018,4.290167055500737,"Exum,Dante",0.6640166983576699,,"Satoransky,Tomas"
